brand,weeks,mean_index,median_index,peak_index,zero_share,below_one_weeks,recent_13w_mean,peak_date,recent_rank
Shiseido,53,82.10876803551609,81.17647058823529,117.64705882352942,0.0,0,73.7556561085973,2025-11-23,1
Laneige,53,53.54716981132076,49.0,100.0,0.0,0,41.76923076923077,2025-11-23,2
Judydoll,53,5.486102466523215,5.089538171536287,9.42507068803016,0.0,0,6.046545349090119,2026-05-03,3
3CE,53,3.018867924528302,3.0,4.0,0.0,0,2.769230769230769,2025-08-31,4
Mistine,53,1.8867924528301887,2.3529411764705883,4.705882352941177,0.0,0,1.809954751131222,2026-07-05,5
AMUSE,53,1.830188679245283,2.0,2.0,0.0,0,1.6923076923076923,2025-07-06,6
DECORTÉ,53,0.4217536071032187,0.5882352941176471,0.5882352941176471,0.2830188679245283,38,0.5882352941176471,2025-07-06,7
WAKEMAKE,53,0.33962264150943394,0.0,1.0,0.5471698113207547,12,0.5,2026-01-18,8
CANMAKE,53,0.46614872364039955,0.5882352941176471,2.3529411764705883,0.41509433962264153,22,0.4524886877828055,2026-03-22,9
Proya,53,0.22228940301957925,0.2827521206409048,0.6597549481621112,0.39622641509433965,0,0.36975277314579863,2026-03-15,10
Sivanna Colors,53,0.19650383226930807,0.2827521206409048,0.47125353440150797,0.3584905660377358,1,0.1413760603204524,2025-08-03,11
MAOGEPING,53,0.09336154926822328,0.0,0.5655042412818096,0.6981132075471698,1,0.1341260059450446,2025-09-28,12
HERA,53,0.0,0.0,0.0,1.0,0,0.0,2025-07-06,13
