snapshot_date,category,rank,brand,product_name,rating,current_price_usd,source_url
2026-07-11,makeup_all,1,JUNGSAEMMOOL,JUNGSAEMMOOL Essential Skin Nuder Cushion (Refill Included),4.7,36.00-38.25,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,2,lilybyred,lilybyred Luv Beam Cheek Balm (16 Colors),4.7,15.64,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,3,rom&nd,[NEW Soy Beige Core] rom&nd The Juicy Lasting Tint (38 Colors),4.7,16.99,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,4,too cool for school,too cool for school Frottage Pencil (15 Colors),4.6,10.72,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,5,WAKEMAKE,WAKEMAKE Soft Blurring Eye Palette (14 Options),4.7,26.60,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,6,ABOUT_TONE,ABOUT_TONE Blur Powder Pact (Set/Single) (8 Shades),4.7,12.66,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,7,peripera,peripera Mood Glowy Tint (27 Colors),4.7,11.44,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,8,Torriden,Torriden Solid In Ceramide Lip Essence 11mL 1+1,4.8,9.60,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,9,dasique,dasique Shadow Palette (Set/Single) (21 Colors),4.7,25.41,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,10,BANILA CO,BANILA CO Prime Primer Finish Powder 12g (Set/Single),4.9,18.20,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,11,HERA,HERA Black Cushion Foundation Set (15g+Refill 15g) (9 Shades),4.8,54.00,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,12,3CE,[Ultimate Long-Wear] 3CE Lazy Pop Lip Stain (11 Colors),4.5,13.60,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,13,OBgE,OBgE Natural Cover Foundation PRO 14g (Set/Single) (3 Shades),4.8,36.10,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,14,rom&nd,[NEW Soy Beige Core] rom&nd Glasting Color Gloss (Set/Single),4.7,14.99,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,15,CLIO,CLIO Pro Eye Palette Air (Set/Single) (12 Options),4.8,24.50,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,16,so natural,[OY Pick/Limited] so natural All Day Blur Make Up Setting Fix,4.8,18.89-23.08,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,17,CLIO,CLIO Kill Lash Mascara Double Pack (9 Options),4.7,21.26,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,18,fwee,[NEW Vanilla Edition] fwee 3D Voluming Gloss Set (Set/Single),4.8,8.52-12.18,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,19,CLIO,CLIO Kill Cover Founwear Cushion Refill Set (5 Shades),4.7,25.50,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
2026-07-11,makeup_all,20,too cool for school,too cool for school Smudging Under Liner (13 Colors),4.7,13.00,https://global.oliveyoung.com/display/page/best-seller?target=pillsTab1Nav2
