platform,post_id_hash,brand,market_group,country_or_region,price_tier,product_category,keyword,publish_time,collect_time,title,description,hashtags,like_count,comment_count,collect_count,share_count,author_follower_bucket,is_sponsored_hint,selling_points,pain_points,sentiment_score,sentiment,engagement_score,log_engagement,save_like_ratio,comment_like_ratio,engagement_percentile,is_high_engagement
xiaohongshu,f3b0bdaa085c8f6efc42,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-04-22 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。略微沾杯,#唇泥 #K-beauty,280,32,54,6,100k-1m,False,long_wear,transfer,-1,negative,470,6.154858094016418,0.19285714285714287,0.11428571428571428,0.4864864864864865,False
xiaohongshu,f40e3898cd815388e5df,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 口红 测评,2026-02-20 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 口红｜水光奶油肌,通勤使用8小时记录，水光奶油肌。略微沾杯,#口红 #K-beauty,447,36,80,13,100k-1m,False,texture,transfer,-1,negative,718,6.577861357721047,0.1789709172259508,0.08053691275167785,0.6756756756756757,False
xiaohongshu,d222a9db1be36b46a2a6,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-02-16 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。敏感肌先试用,#唇泥 #K-beauty,96,2,10,6,100k-1m,False,long_wear,none,0,neutral,138,4.9344739331306915,0.10416666666666667,0.020833333333333332,0.13513513513513514,False
xiaohongshu,c33e557aa9798fdf86dd,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 口红 测评,2026-05-28 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 口红｜轻薄服帖,通勤使用8小时记录，轻薄服帖。,#口红 #K-beauty,863,29,261,81,1k-10k,False,texture,none,1,positive,1686,7.430707082545968,0.30243337195828507,0.03360370799536501,0.9324324324324325,True
xiaohongshu,559d01cb6ca48cc0341e,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-03-24 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜水光奶油肌,通勤使用8小时记录，水光奶油肌。敏感肌先试用,#唇泥 #K-beauty,251,21,93,9,100k-1m,False,texture,none,0,neutral,506,6.2285110035911835,0.3705179282868526,0.08366533864541832,0.527027027027027,False
douyin,ff8711d7eebc29970131,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-03-19 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。但有点卡粉,#唇泥 #K-beauty,100,4,8,9,1k-10k,False,long_wear,dryness,-1,negative,151,5.0238805208462765,0.08,0.04,0.12666666666666668,False
douyin,80ff0e84e619b296cbf0,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇釉 测评,2026-03-28 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇釉｜学生党平替,通勤使用8小时记录，学生党平替。下午会暗沉,#唇釉 #K-beauty,261,21,84,19,10k-100k,False,value,oxidation,-1,negative,528,6.270988431858299,0.3218390804597701,0.08045977011494253,0.52,False
douyin,39bf6fe20696c3c2b821,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 口红 测评,2026-04-24 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 口红｜学生党平替,通勤使用8小时记录，学生党平替。干皮可能拔干,#口红 #K-beauty,685,33,246,58,100k-1m,False,value,dryness,-1,negative,1417,7.257002707092073,0.35912408759124087,0.04817518248175182,0.88,False
douyin,c53d044519f46aea999e,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-01-02 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜黄皮显白,通勤使用8小时记录，黄皮显白。干皮可能拔干,#唇泥 #K-beauty,192,5,73,5,100k-1m,False,brightening,dryness,0,neutral,363,5.8971538676367405,0.3802083333333333,0.026041666666666668,0.3466666666666667,False
douyin,dd12a20296c68b49e558,rom&nd,K-beauty,South Korea,affordable,lip,rom&nd 唇泥 测评,2026-03-08 00:00:00+00:00,2026-06-30 00:00:00+00:00,rom&nd 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。但有点卡粉,#唇泥 #K-beauty,382,10,70,15,100k-1m,False,long_wear,dryness,-1,negative,587,6.376726947898627,0.18324607329842932,0.02617801047120419,0.56,False
xiaohongshu,bfcf499a71afc53620a7,CLIO,K-beauty,South Korea,mid,base,CLIO 粉饼 测评,2026-02-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉饼｜学生党平替,通勤使用8小时记录，学生党平替。,#粉饼 #K-beauty,668,74,217,35,1k-10k,False,value,none,0,neutral,1355,7.212294468500341,0.3248502994011976,0.11077844311377245,0.8867924528301887,False
xiaohongshu,7a98d731134b79423781,CLIO,K-beauty,South Korea,mid,base,CLIO 粉饼 测评,2026-04-18 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉饼｜学生党平替,通勤使用8小时记录，学生党平替。下午会暗沉,#粉饼 #K-beauty,295,29,82,6,100k-1m,False,value,oxidation,-1,negative,535,6.284134161070802,0.27796610169491526,0.09830508474576272,0.6367924528301887,False
xiaohongshu,ca6f52659941e9c101f7,CLIO,K-beauty,South Korea,mid,base,CLIO 气垫 测评,2026-03-13 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 气垫｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。略微沾杯,#气垫 #K-beauty,84,9,14,8,10k-100k,False,coverage,transfer,-1,negative,154,5.043425116919247,0.16666666666666666,0.10714285714285714,0.16981132075471697,False
