market_group,brand,posts,median_likes,median_saves,median_comments,median_shares,median_engagement,median_save_like_ratio
J-beauty,CANMAKE,102,1849.0,770.0,60.0,150.0,4358.5,0.4012506513809276
Thai beauty,Mistine,100,3334.5,755.0,202.5,147.0,6522.0,0.2477682561797238
K-beauty,WAKEMAKE,97,577.0,205.5,34.0,39.0,1196.0,0.37462235649546827
K-beauty,AMUSE,62,987.0,271.5,22.5,36.5,1756.5,0.28192999053926204
K-beauty,3CE,40,6916.5,2670.0,255.0,405.5,11564.5,0.28048090393025593
Thai beauty,Sivanna Colors,38,1325.5,471.5,40.0,95.0,2545.5,0.327405895446394
K-beauty,Innisfree,19,1210.0,330.0,40.0,36.0,2047.0,0.3127962085308057
Affordable C-beauty,Judydoll,12,3944.5,1219.0,117.0,121.5,6904.5,0.3312392255496659
Premium C-beauty,Proya,8,2974.0,429.0,204.5,110.0,5611.5,0.2152198109298359
International luxury,Lancôme,7,3012.0,825.0,126.0,155.0,6318.0,0.3738562091503268
K-beauty,rom&nd,7,1611.0,284.0,35.5,99.0,2902.0,0.3587521663778163
K-beauty,Laneige,5,1008.0,236.0,29.0,9.0,1600.0,0.27692307692307694
