brand,xhs_posts,xhs_median_engagement,oliveyoung_best_rank,oliveyoung_ranked_products,google_trends_recent_rank,recent_13w_mean,zero_share,xhs_observed,oliveyoung_observed,cross_source_observed,google_trends_observed,sources_observed,interpretation
WAKEMAKE,97.0,1196.0,5.0,1.0,8.0,0.5,0.5471698113207547,True,True,True,True,3,coverage only; engagement and sales rank are not directly comparable
3CE,40.0,11564.5,12.0,1.0,4.0,2.769230769230769,0.0,True,True,True,True,3,coverage only; engagement and sales rank are not directly comparable
CANMAKE,102.0,4358.5,,,9.0,0.4524886877828055,0.4150943396226415,True,False,False,True,2,coverage only; engagement and sales rank are not directly comparable
Mistine,100.0,6522.0,,,5.0,1.809954751131222,0.0,True,False,False,True,2,coverage only; engagement and sales rank are not directly comparable
AMUSE,62.0,1756.5,,,6.0,1.6923076923076923,0.0,True,False,False,True,2,coverage only; engagement and sales rank are not directly comparable
Sivanna Colors,38.0,2545.5,,,11.0,0.1413760603204524,0.3584905660377358,True,False,False,True,2,coverage only; engagement and sales rank are not directly comparable
Judydoll,12.0,6904.5,,,3.0,6.046545349090119,0.0,True,False,False,True,2,coverage only; engagement and sales rank are not directly comparable
Proya,8.0,5611.5,,,10.0,0.3697527731457986,0.3962264150943396,True,False,False,True,2,coverage only; engagement and sales rank are not directly comparable
rom&nd,7.0,2902.0,3.0,2.0,,,,True,True,True,False,2,coverage only; engagement and sales rank are not directly comparable
Laneige,5.0,1600.0,,,2.0,41.76923076923077,0.0,True,False,False,True,2,coverage only; engagement and sales rank are not directly comparable
HERA,,,11.0,1.0,13.0,0.0,1.0,False,True,False,True,2,coverage only; engagement and sales rank are not directly comparable
Innisfree,19.0,2047.0,,,,,,True,False,False,False,1,coverage only; engagement and sales rank are not directly comparable
Lancôme,7.0,6318.0,,,,,,True,False,False,False,1,coverage only; engagement and sales rank are not directly comparable
ABOUT_TONE,,,6.0,1.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
BANILA CO,,,10.0,1.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
CLIO,,,15.0,3.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
DECORTÉ,,,,,7.0,0.5882352941176471,0.2830188679245283,False,False,False,True,1,coverage only; engagement and sales rank are not directly comparable
JUNGSAEMMOOL,,,1.0,1.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
MAOGEPING,,,,,12.0,0.1341260059450446,0.6981132075471698,False,False,False,True,1,coverage only; engagement and sales rank are not directly comparable
OBgE,,,13.0,1.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
Shiseido,,,,,1.0,73.7556561085973,0.0,False,False,False,True,1,coverage only; engagement and sales rank are not directly comparable
Torriden,,,8.0,1.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
dasique,,,9.0,1.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
fwee,,,18.0,1.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
lilybyred,,,2.0,1.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
peripera,,,7.0,1.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
so natural,,,16.0,1.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
too cool for school,,,4.0,2.0,,,,False,True,False,False,1,coverage only; engagement and sales rank are not directly comparable
