keyword,posts,median_likes,median_saves,median_comments,median_shares,median_engagement,median_save_like_ratio
wakemake,100,593.5,213.0,34.5,39.5,1225.0,0.3697705484834198
CANMAKE,97,1731.0,742.0,59.0,144.0,4020.0,0.3929180908219695
Mistine,89,3354.5,756.0,209.0,150.0,6656.0,0.2464725802866918
amuse,71,1001.0,299.0,23.0,44.0,1892.0,0.2857142857142857
Sivanna Colors,40,1325.5,471.5,36.0,95.0,2545.5,0.3519318457713294
花西子，完美日，橘朵,39,3947.0,1551.0,174.0,167.0,7540.0,0.2903575297941495
悦诗风吟，兰芝,39,1100.0,358.0,50.0,50.5,2335.5,0.35846867749419953
3CE,38,7123.5,2926.5,305.5,425.0,12990.0,0.28048090393025593
珀莱雅，毛戈平，兰蔻,38,2548.5,849.0,131.0,109.0,5090.0,0.3638018542162694
Mistine，Sivanna，资生堂,36,2066.0,828.5,176.5,142.0,5090.0,0.3706896551724138
黛珂、CANMAKE,30,4803.0,2748.5,163.5,318.0,13228.0,0.48094975151849806
美妆，妆容，彩妆,27,,3984.0,857.0,2095.5,,
